# Oracle Linux 5

## Sustaining Support

Oracle Linux 6 Update 4 installation media copy (i386)	ol6_u4_i386_base	All packages released on the Oracle Linux 6 Update 4 (i386) installation media. This channel does not contain updates.	4675
Oracle Linux 6 Update 4 installation media copy (x86_64)	ol6_u4_x86_64_base	All packages released on the Oracle Linux 6 Update 4 (x86_64) installation media. This channel does not contain updates.	6245
Oracle Linux 6 Update 5 installation media copy (i386)	ol6_u5_i386_base	All packages released on the Oracle Linux 6 Update 5 (i386) installation media. This channel does not contain updates.	4840
Oracle Linux 6 Update 5 installation media copy (x86_64)	ol6_u5_x86_64_base	All packages released on the Oracle Linux 6 Update 5 (x86_64) installation media. This channel does not contain updates.	6421
Oracle Linux 6 Update 6 installation media copy (i386)	ol6_u6_i386_base	All packages released on the Oracle Linux 6 Update 6 (i386) installation media. This channel does not contain updates.	4957
Oracle Linux 6 Update 6 installation media copy (x86_64)	ol6_u6_x86_64_base	All packages released on the Oracle Linux 6 Update 6 (x86_64) installation media. This channel does not contain updates.	6595
Oracle Linux 6 Update 7 installation media copy (i386)	ol6_u7_i386_base	All packages released on the Oracle Linux 6 Update 7 (i386) installation media. This channel does not contain updates.	4991
Oracle Linux 6 Update 7 installation media copy (x86_64)	ol6_u7_x86_64_base	All packages released on the Oracle Linux 6 Update 7 (x86_64) installation media. This channel does not contain updates.	6629
Oracle Linux 6 Update 8 installation media copy (i386)	ol6_u8_i386_base	All packages released on the Oracle Linux 6 Update 8 (i386) installation media. This channel does not contain updates.	5085
Oracle Linux 6 Update 8 installation media copy (x86_64)	ol6_u8_x86_64_base	All packages released on the Oracle Linux 6 Update 8 (x86_64) installation media. This channel does not contain updates.	6756
Oracle Linux 6 Update 9 installation media copy (i386)	ol6_u9_i386_base	All packages released on the Oracle Linux 6 Update 9 (i386) installation media. This channel does not contain updates.	5093
Oracle Linux 6 Update 9 installation media copy (x86_64)	ol6_u9_x86_64_base	All packages released on the Oracle Linux 6 Update 9 (x86_64) installation media. This channel does not contain updates.	6769
Oracle Linux 6 Update 10 installation media copy (i386)	ol6_u10_i386_base	All packages released on the Oracle Linux 6 Update 10 (i386) installation media. This channel does not contain updates.	5098
Oracle Linux 6 Update 10 installation media copy (x86_64)	ol6_u10_x86_64_base	All packages released on the Oracle Linux 6 Update 10 (x86_64) installation media. This channel does not contain updates.	6777

Oracle Linux 6 GA Patches (i386)	ol6_ga_i386_patch	Updated packages published after release of Oracle Linux 6 (i386)	549
Oracle Linux 6 GA Patches (x86_64)	ol6_ga_x86_64_patch	Updated packages published after release of Oracle Linux 6 (x86_64)	724
Oracle Linux 6 Update 1 Patch (i386)	ol6_u1_i386_patch	Updated packages published after release of Oracle Linux 6 Update 1 (i386).	492
Oracle Linux 6 Update 1 Patch (x86_64)	ol6_u1_x86_64_patch	Updated packages published after release of Oracle Linux 6 Update 1 (x86_64).	631
Oracle Linux 6 Update 2 Patch (i386)	ol6_u2_i386_patch	Updated packages published after release of Oracle Linux 6 Update 2 (i386).	656
Oracle Linux 6 Update 2 Patch (x86_64)	ol6_u2_x86_64_patch	Updated packages published after release of Oracle Linux 6 Update 2 (x86_64).	787
Oracle Linux 6 Update 3 Patch (i386)	ol6_u3_i386_patch	Updated packages published after release of Oracle Linux 6 Update 3 (i386)	596
